(©Çª«½s¸¹), (©Çª«®y¼ÐX), (©Çª«®y¼ÐY), (0)ª¯, (1)»e¸Á, (2)¦ÑÆN, (3)«Cµì, (4)­¹¤Hªá, (5)µò½Â, (6)ªQ¹«
45
4,880,919
1,1017,1247
4,1537,1231
5,1741,244
4,2850,705
5,3039,152
3,661,315
4,2460,1058
1,2913,1295
1,3964,969
1,5020,890
1,6337,944
1,6328,1112
5,6108,1344
1,2355,665
4,4500,1063
4,7362,698
0,3125,414
5,6687,239
5,6967,244
5,7312,256
5,7324,85
5,5489,146
5,5672,145
5,5918,196
5,6099,196
5,6334,199
5,6483,431
4,8814,1257
2,6947,610
1,8477,846
1,7812,981
3,8876,166
2,8885,834
5,9244,1309
5,8703,1301
0,5549,1199
5,5856,104
5,5416,113
5,5716,115
5,6194,165
4,8322,608
5,8687,1297
5,8947,1280
5,9222,337
