(道具編號), (道具座標X), (道具座標Y), (0)生命 (1)金幣 (2)寶石 (3X)黑寶箱 //(0)Gem,(1)Life,(2)Coin// (4X)紅寶箱 (5)火堆 (6)火把
178
1,982,367
1,935,515
1,986,663
1,1101,958
1,170,736
1,170,790
1,170,853
1,314,769
1,373,745
1,445,738
1,502,755
1,735,1271
1,801,1245
1,858,1246
1,922,1243
1,996,1245
1,1078,1244
1,1161,1262
1,1213,1282
0,264,1153
0,359,1153
1,2354,1093
1,2397,1051
1,2453,1017
1,2511,1012
1,2561,1051
0,1987,628
0,2253,628
0,2592,628
1,1537,1047
1,1384,854
1,1521,666
1,1558,471
32,2005,1263
1,2449,1297
1,2592,1297
1,2734,1297
1,3103,1101
1,3198,1138
1,3222,1181
1,3227,1219
1,3230,1264
1,3230,1294
1,3232,1332
1,3437,1049
1,3387,906
1,3504,859
1,3648,914
1,3792,1005
1,3956,912
1,4147,1007
0,4466,1344
1,1536,1223
1,1631,1221
1,1729,1218
1,1822,1221
2,4175,137
42,3985,303
1,4561,138
1,4605,108
1,4672,93
1,4756,118
1,4800,143
1,4866,118
1,4944,95
1,5049,86
1,5097,95
1,5162,130
42,5675,635
1,2783,144
1,2880,144
1,2976,144
1,3072,144
1,3172,144
1,3264,144
0,4822,1220
0,4822,1267
0,4822,1323
1,5069,947
1,5521,529
1,5570,500
1,5634,490
1,5690,492
1,5745,504
1,5799,528
1,5842,570
1,5862,602
1,5867,644
1,5448,1202
1,5501,1202
1,5553,1202
1,5601,1202
1,5651,1202
1,5700,1202
1,5749,1202
1,6072,964
1,6287,1054
1,6581,1195
1,6231,1197
0,6097,1327
40,7409,686
32,8323,916
31,8497,915
32,8639,912
1,8085,565
1,8133,531
1,8191,524
1,8255,549
1,8300,593
1,7709,1006
1,7751,974
1,7799,961
1,7860,962
1,7903,981
1,7944,1023
1,7956,1075
1,7955,1111
0,5926,760
1,6647,514
1,6698,569
1,6800,619
1,6849,677
1,6864,742
1,6872,816
1,8236,746
1,8192,771
1,8161,810
1,8123,861
1,8109,918
1,8103,961
1,8101,1007
40,9292,912
5,8916,226
6,7185,541
6,4800,893
6,4321,131
6,1871,696
0,7460,287
1,7084,145
1,6928,145
1,6743,145
1,1649,122
1,1682,122
1,1717,122
1,1748,122
1,1781,122
1,1811,122
1,1851,122
1,1880,122
1,1649,168
1,1682,168
1,1717,168
1,1748,168
1,1781,168
1,1811,168
1,1851,168
1,1880,168
1,1649,203
1,1682,203
1,1717,203
1,1748,203
1,1781,203
1,1811,203
1,1851,203
1,1880,203
1,1649,239
1,1682,239
1,1717,239
1,1748,239
1,1781,239
1,1811,239
1,1851,239
1,1880,239
1,3162,1110
1,3134,1097
0,9195,518
0,9286,518
0,9402,518
